"","x"
"58","I used this control to turn a chest freezer into a fridge for my home brew corney kegs and it has worked perfectly for over a month now.  I found it to be fairly straightforward on setup.  Just plug the unit into the wall, the freezer into the unit and run the temperature sensor through the freezer top (no need to drill).  It did take a minute or two to review the manual to find out what the abreviations stand for (that flash up on the display) when inputing temperature and freezer run duration etc.  Beyond that is it a simple product that does exactly what I wanted it to do.  It has kept the temperature right where I want it and kept me from having to wire in a new control unit which I wasn't comfortable doing."
"59","Bought this controller to regulate the temperature in my Keezer.  Took some getting used to in programming the controller.  Depending on how far the probe is in the keezer determines what the temp displays.  I had to play with this some.  Ended up freezing some water in the bottom and freezing the CO2 gauge when the probe was too high up.  Other than that it works well for the application that I need."
"60","If you are reading this, you are most likely a beer drinker looking to convert a chest freezer into a keg freezer (keezer) draft beer dispenser.  Well, I'm here to tell you that everything you read out there on the interweb that led you to this item is true.  Once you get it set up properly, you will always have a well chilled beer at hand.  And for anyone else who might happen to be looking to use this item for what it was intended for... I can tell you that it keeps my keezer at the temperature that I want it to be.  mmmmmmmmm beer....."
"61","I have had and have been using this unit for about two months as a temperature controller for a 14.8 cu ft chest freezer turned into a cooler for Cornelius kegs filled with luscious beer.  So far, it works well as described, even if the interface is a bit confusing.  Keep a copy of the instruction's interface page near the unit in order to prevent mistakes in programing.If you need a temperature controller in this product's description, get this."
"62","this is my second one of these. so much more accurate than the analog dial type. the setting are easy and clear. the range is broad. i use mine with an upright freezer for fridge to freeze temp ranges. great value for the features and quality.Nov 15th updatei bought a 2nd one for a chest freezer. works great but since chest freezers have no fans it is not able to hit target temps as accurately. the range is fantastic though. still ove this."
"63","So I waited months before writing a review on this little unit. It's being used to convert a bench freezer into Kegerator. It works great and was already in the correct mode when I received it. All I had to do was set the temp and run the sensor into the freezer. The construction is great, mounting was easy, and it has not given me any issues at all. If anyone is trying to convert a freezer into a fridge or kegerator this is a must have."
"64","Super simple to use, but understanding the abbreviations is unintuitive because the display can only show two characters. There are a lot more settings than I needed. For the record, SP stands for Set Point and is the temperature you want. The device displys the current temperature."
"65","If you are looking for a control unit for your freezer to make it a kegerator this is perfect. Some of the analog units are cheaper but I prefer the digital display/control and for a few extra bucks it is worth the piece of mind.  Johnson was even nice enough to have it programmed for kegerator duty out of the box, I just reviewed the settings and pressed on with the install."
"66","I use this to convert an upright freezer to a refrigerator. The freezer came with the house we bought, and we didn't have a need for a 6' freezer, but did have a use for a second fridge. It's currently doing duty as a beer fridge keeping everything at a nice 40 degrees F."
"67","Does what it's supposed to, controls a heater or cooler in response to temperature. If you take the time to read the manual, it is easy to set the jumpers to select heating/cooling. The front panel allows setting the activation setpoint and differential even on-the-fly, this too is easy. I used it to control a heater in a hotbox, absolutely reliable. I could have purchased the A419 control and wired it in myself, saving a measley $19, but why? This has the socket and plug already wired in, perfect for my application."
"68","I made a fermenting chamber out of a Danby 7.0 Cu ft chest freezer. So far this is working great.  I live in FL and the temps always go wacky so I need something consistent for brewing purposes.  This has been holding ambient ten at about 68 degrees.  perfect for ales.  I can't wait to drop it down a notch for lagers. Cheers!"
"69","Im a snowbird and i use this controll to operate a battery heater between two paving blocks in a small freezer to create a no freeze zone to store freeze sensitive foods while im gone for the winter.when i return i revert freezer to its original purpose.pavers act as thermal storage in case of power failures."
"70","The two things preventing me from giving this product 5 stars are the following:-I've only owned it for a few days so I'm not sure how well it will hold up, though I have no reason to believe it won't last for a long time.-The instructions could have been a bit clearer; I didn't understand the difference between the ""cut in"" and ""cut out"" settings.After doing some research I was able to find a few threads on home brew forums that clearly described the differences between the cut in and cut out settings.In cooling mode, with ""cut in"" selected, the unit will supply power starting at the set point and will cut off after it senses the temperature has hit the set point minus the differential. So if you set your temp to 40F and you have a differential of 4F, the unit will supply power starting at 40F and then stop supplying power at 36F.In ""cut out "" mode, the unit would supply power starting at 44F and then stop supplying power at 40F.As I am neither a controls expert nor HVAC professional, It took me a while to come to this understanding.The details of how to change all the settings are very clearly explained in the instructions ([...] what all the settings mean aren't.Overall, it seems to be a great product, and many people have used it to great success. It is keeping my keg-orator at a nice temperature right now and I don't have to worry about it freezing up due to a poorly set thermostat."
"71","A few of us purchased this and set it up so that it controls a space heater inside an insulated box we built that houses several glass carboys. We taped the temp probe to the side of one of the carboys and then insulated over that probe so that it's reading the temp of the fermenting beer rather than the air temp. We made ourselves a nice little fermentation space in a cold garage so we don't aggravate the wives or have to transport carboys to our various houses from where we do our brewing. We have an analog Johnson controller hooked up to a keezer but it doesn't seem to be working. I may purchase anther one of these to hook up to the keezer to keep our kegs chilled and possibly do some lagering."
"72","It took a little while to understand exactly how to operate the thing, but I made it more complicated than it needed to be. Read the directions and check out some home brewing forums for tips and even clearer explanations. It keeps my fridge/""fermentation chamber"" exactly where I want it. Fermentation temperature is super critical. This makes brewing life that much easier!"
"73","works great. i got two of them one for a dorm fridge for the workshop and one for the wood stove. i set the one for the wood stove to bring on the whole house fan when the temp in the room where the wood stove is gets above 72 degrees. it keeps from moving cold air around at night when the fire goes out. the fridge does not have a working thermostat in it.... now it has one better than it had new when it was new.  you can control anything you want to with a narrow or wide temp swing as you want.  heat of cool. simply plug one end into a 110v receptacle and the other end into your controlled device."
"74","Five years later, it's still going strong in the Keezer.  No complaints.  Wiring it up took a little bit of doing, but it wasn't that complicated."
"75","Simply the best bang for the buck and easiest to use temp controller you can get.  Have one on a large 8 tap ""keezer"" and my beer fridge which doubles as a lager/fermentation chamber.  Both running strong for nearly 3 years and hasn't cost me a blown motor yet (knock on wood)."
"76","I use this on a 20 cubic foot stand-alone freezer to age beer.  It's simple to use and keeps the interior of the fridge no colder than 52 degrees.  I couldn't be happier w/ this purchase.  I trust it to protect $2500 worth of amazing craft brews!"
"77","I was looking for something that would help me take a chest freezer and control the temperature to refrigeration levels without any fuss.  This device was perfect for my keggerator chest freezer conversion.  If you're looking to store food in here and are worried about losing power or the device failing (like one reviewer commented on) then get some sort of supplemental alarm/thermostat that will sound if the temperature goes above X°.It took a little figuring out at first as the instructions were pretty cryptic from a non-scientific/electronics expert perspective.  From a conversion standpoint, simply hit the menu button until you see SP flashing, hit the menu button one more time to set the temperature, and then set to your target temperature.There are other variables you can set for the differential, but all in all it does a great job and gets it done!"
"78","If you have one of those Danby Kegorator units with a faulty thermostat... direct wire your compressor to a grounded extension cord and plug it into this baby.  It will keep your beer an even cool and even save wear on the compressor from the schizo thermostat changes."
"79","I used it to turn an upright freezer into a refrigerator that now can store lots of cold beer and drinks at the perfect temperature (just above freezing). The Instructions were a little ""techy"" with all the possible settings but after a few cycles, I was able to figure out what temp to set it so it would cutout at the right temp and maintain my cold beer/cold drinks.I looks like it is going to save more energy because of the efficiency of the freezer combined with the TCU. The freezer is not running all the time and the TCU kicks it on only when the temp reaches above the set point.Now I have a great drink cooler for the garage."
"80","Works great. I chose this based on reviews. I have attached it it the side of my freezer simply with two sided tape. The directions are slightly technical and can be confusing so you will need to put your thinking cap on for a minute or two, but this device was not made specifically for home brewers. Work with the differential to keep the freezer from turning on all the time."
"81","quality temp control on my chest freezer-cum-fermentation chamber. seems to get a bit below the set temp. popped the probe in some cooler pack gel in a little tub to get a more stable temp read."
"82","Fantastic for temperature control on your freezer so you can brew beer at controlled temperatures.  I stick the thermometer up against the carboy and insulate with Styrofoam and haven't noticed any significant temperature differences from when i take readings.  Works great."
"83","Simple, simple, simple. Works exactly like it should in my keezer. I mounted it behind the collar, read the simple instructions for setting the temp, span, and what to do if it fails (either run device or shut off device), put the probe in water in the keezer, and turned it on. No problems at all."
"84","I bought a refrigerator and wanted to make it into a wine cooler.  The Johnson Controls Digital thermostat does the job well.  Plug the control into the electrical outlet and then plug the fridge into it.  I set the temp for 60 degrees and it cycles on and off to keep the cooler between 55 and 60.  Exactly what I wanted.  It is quite easy to use.  I programmed it before I read the directions.  Very intuitive."
"85","Like many others, I bought this item to create a cheese aging cage out of my small refrigerator and I agree with the fact that no matter how low the actual settings are, there is no way the inner temperature can get to the 54-58 F range which is what most aging cheeses ask for. You can buy a wine fridge, which I did ( a small one, but I overgrew it already), but the price tag for a decent size (say 3-4 cubic feet) starts with $200 so that is something I don't want to invest on. So, based on the good reviews I bought this item after using it for 2 weeks now here are the pros and cons that come to my mindPros:1-Well built quality and decent cord length (both the sensor and the powerline) so that you can hide the item at the back and still turn around the sensor and put it inside (better put it somewhere it stays without moving, I put my sensor into an empty salt dispenser and taped the dispenser's opening so that it does not get out easily. Then I put the dispenser on the fridge door (works fine for the moment)2- Accuracy in the temperature readings: I checked the temperature that shows on the thermostat and the temperature inside (using two different room thermometers) and see the difference with in 1F or less and that is due to the other settings I adjusted like the cut in and cut off temperature difference or so (if your target temperature is 54F this item gives you the option of the acceptable range. So you set, lets say, 2F difference in menu and whenever it is 56F then it lets the cooling and whenever the temperature hits 52 F it stops the current. (you have the option of setting this difference as low as 1F)3-Many additional features: One of them is the difference function that I explained above and the other one is the function to prevent fast compressor cycling. Most refrigerators use a compressor to function. It is not recommended to switch on and off the compressor in very short intervals (say less than a minute or so) or the compressor life expectancy fails. So this device lets you set the minimum compressor cycling time. This means that even if the temperature goes up or down the set temperature if the compressor has recently started working or shut down, it waits until the set time to pass before turning the compressor on/off again. I set mine to 2 minutes.Cons:Not many so far but if I must write a few words, I can say that the manual is ridiculously complex. You only need 1/3 of the information written on it. The descriptions target an electrician who wants to tear it into pieces and make it again from scratch. But that is nothing I can complain as long as I can dissect out the information I need to find.In terms of price: It is not ridiculously expensive but it is not cheap either. I would like it to be $10 cheaper but a $70-80 range can be considered as a fair price range.So for a home cheese maker, I recommend this product. But one thing to remind: Temperature is not the only thing that matters in cheese aging. A relative humidity of over 75% is what most cheese desire and this item does not help in that. So far, I am trying to kill the dryness inside the fridge by adding damp clothes, napkins or water jars but seems I need to work on it some more.."
"86","This is the third one I've used and what I'll continue to use.  I have this controlling a few chest freezers that I've converted for beer lagering/keg storage purposes.Dead simple operation."
"87","This is agreat product. I only give it 4 stars cause I feel like it's more expensive than it really needs to be. I also feel that it could be a little bit more intuitive. The instructions are somewhat straightforward but it takes a little bit to get everything configured all the way."
"88","I hooked this up to a chest freezer in my garage to store my buckets and carboys of beer for fermenting. Works great! Controls the temperature perfectly, kicks on the chest freezer when needed. Great buy for homebrewers!"
"89","As the weather changed from cool to warm in the few months since I got this, I have had a chance to use this with a FermWrap on a 6.5 Gallon Carboy, and then on a mini-fridge. The pin swap is pretty easy after the first time, and took about 5 minutes to reconfigure for the fridge. JC is used to industrial applications, and this shows in the quality of this unit."
"90","good product, using for a ""keezer"" chest freezer converted to kegerator. Works well but must carefully place probe for temperature. Also have to adjust short cycle and deadband to liking. a little pricey but I'm getting another one for an old wine fridge a friend gave me, which has a bad thermostat... plan to use as a patio fridge/lager fridge."
"91","Saved my pool fridge which lost it's mind after 2 years and was either too hot or deep freeze. I installed this in have it overriding the compressor. Literally the temp is a perfect 33-34 degrees and it's very constant. I had one of these back in the day for brewing beer in a hot climate. I took an old freezer and set this controller to 68 degrees to ferment beer. It worked like a champ."
"92","I purchased this to use for sous vide, beer brewing, and occasional wine fridge use. It is pretty easy to set up, and very well-built.  Probably more cord on it than most people need (I shortened mine), but better to have excess than not enough."
"93","Does what you expect, pretty much as you'd expect. I used it to convert a chest freezer into a fridge. Add a sheet of pink board or two and you can have a combo fridge and sub-zero for a pittance compared to regular standing fridges."
"94","Got this for a Xmas gift, plugged in and set unit to 35 degrees. Check it the following morning and it was reading 55 degrees. Checked jumpers and were set to cool. Checked it with a meter and the plug that's used for the refrigerator was not getting any power. Returning for another unit (hoping it works) and will change my ranking if it works. Understand that things happen, but kind of left a bad taste in my mouth with it not working...crossing my fingers for a unit that works!"
"95","I have a 4 tap beer box made from a chest type freezer and I purchased this digital thermostat controller to set the temperature inside the box. It was easy to install although the directions for setting the temperatures are very confusing. Once set, it works just fine."
"96","I use the thermostat to control the temperature in a chest freezer that I use for fermenting beer (35-55 F).  The controller works great for this purpose.  I also have a second one that I plan on using to operate a HERMS device for my mashing system.  You can set the controller to operate a heater or cooling device but you must reposition ""jumpers"" inside the unit (not difficult but a pain if you plan on doing it often).  If you want a unit that switches automatically betweem cooling and heating, you are better off with the more expensive Ranco controller.This particular controller will allow you to set the target temperature (as either a closing or openning point), the number of degrees of variance from target before the unit turns on/off, a time delay before the unit is allowed to reactivate the device(great for extending the life of a freezer or fridge), power supply on/off option in the case of unit failure and options for using remote monitoring/controlling if you choose to upgrade.For the money, it is the best value on the market.  No wiring required, simply plug in the device to the controller and the controller into the wall.  The Ranco offers more options if you prefer to wire your own device or you can go all out and use a Love or other commercial controller that is fully customizable but is best mounted into a control device panel.  Check out [...] for examples of what can be done with more sophisticated controller units."
"97","This little baby is the temperature controller to my keg freezer.  I have it locked in at 38 deg.  It controls the power supply to the freezer that is now my kegerator.  If you want a programable temperature controller, this is for you."
"98","So I bought this to use on a fridge for fermenting beer . It does the job . Plug it in the wall and plug the fridge into the controller and set the controller to come on at a ? temp and shut off at ? temp . Has a lot of setting that I know nothing about but the cut in cut out and dif  settings do just as they are supposed to ."
"99","This was a Christmas Gift for my Hubby - who is in fourth year of Brewing his on Beer.  He was very HAPPY with this gift now he can brew in the heat of the Summer!!  How refreshing will that be??  Great delivery time and the Unit seems in Great shape. All in all it was a very smooth transaction - I would not expect anything less from Amazon!! Thank you again Amazing Amazon!!"
"100","Couldn't ask for a more reliable temperature control for my fermentation chamber.  Spot on accurate and works as you would expect."
"101","I've purchased two of these.  The first I use to control a heater belt around a beer fermenter.  It's proven reliable for the 2-3 years I've used it.  Recently, I bought a second unit to control the temperature of a freezer I converted into a kegerator.I like the flexibility of operation.  It appears to be reliable. I highly recommend."
"102","Bought this for my keezer that sits in my kitchen. I keep it around 40-43 degrees normally for ales. It has worked great for me for over a year. If you read the directions, you can understand the on screen abbreviations and get this set up very quickly."
"103","Great for any device... refrigerator... chest freezer... etc. that you want to control the temp. Product worked great and has  been since I installed it a year or so ago. Called Johnson Controls for some help and the guy was great and assisted me with some configuration. Price was good on Amazon too. Local brew shops wanted over $100 for this guy and I think I got it for $68."
"104","Bought this item to use with a freezer that I am turning into a Keezer. Works great, but the temperature varies slightly compared to the other thermometer I have in the cooler."
"105","I bought this for use in a home made sous vide oven. It works great and I could not be more pleased."
"106","Using this to regulate a chest freezer for home brew kegs. Easy to adjust and setup. I set it at 44 degrees and with my small freezer, the unit kicks in the freezer, lowering it to 39 degrees. I'm sure this 5 degree swing is normal and dependent in freezer type.Great unit."
"107","If you need one of these, this is the one to get. Works perfectly with my kegerator, I simply hardwired the compressor and condenser fan to the power input and this device now functions as my controller. All for a fraction of the price of ordering OEM replacement parts."
"108","Very good. I needed to use another thermometer to get accurate temperature setting. Suggest using thermometer that measures liquid temperature since most of the food in the refrigerator is of a liquid nature."
"109","I have been using the johnsons controls thermostats for years with great success. I use them for my reptile enclosures to run flex watt heat tape. They are simple to set up and I have yet to have one fail."
"110","We've been using this control unit to turn an average chest freezer ($200 while on sale) into a kim-chee freezer (costs at least $800 for the same size). By setting the unit at 0~1`C, we've been getting some pretty good kim-chee, not to mention long lasting and tasty fruits and vegetables. The set up is very easy. Just, make sure to set up the unit so that it does not power off and then on is less than 5 minute intervals."
"111","Nice controller.  Plug the controller into the outlet, and the chiller or heater into the controller.  Insert the temp probe into the thermo well, and choose your set point.  Johnson Controls make high quality products.  Very happy with it."
"112","I bought this to regulate the temperature inside of a refrigerator used to store beer while it is fermenting.  It was extremely easy to set up (if you can set an alarm clock or a DVR to record, then you can program this controller), and it works great.  My unit came already wired, all I had to do was plug the refrigerator into the controller, plug the controller into the wall socket, and set the temperature and other parameters.  It took me about 5 to 7 minutes.  I checked the temperature of the sensor against two other thermometers (a probe-type for cooking, and a regular outdoor-type thermometer) and it is spot on.  Great product, fast shipping (item arrived just three days after I ordered)."
"113","Woow this was the best. We Instaled it and it work very well."
"114","Great temperature controller. I use it for both a beer fermentation chamber and kegerator. I only use the setpoint and differential features, and they work flawlessly. I tape directly to the side of my bucket for fermentation and immerse in a cup of water for kegerator (keep water level below probe crimp and put electrical tape around crimp for extra protection). Results in great tasting beer. Money well spent."
"115","I'm using this to control a danby kegerator. At first the wiring was a little tricky but found instructions on the internet to bypass the kegerator's temp control and use this instead. Now the beer has very little foam and is super nice and cold!! I should have bought and installed this thing years ago!!!"
"116","I am using this on a chest freezer converted into a keezer for beer. It works awesome and I have had no issues with it. Setting it is easy, and it also offers degree tolerances for temperature settings (+/- 1, 2 or 3 degrees). This capability works great for step temperature adjustments when lagering."
"117","I dislike that that the probe wasn't fully waterproof. That's sort of the point isn't it? It did control temperature OK."
"118","Works great! I used this to resurrect a mini fridge that lost the ability to turn itself off. Just a quick hole in the side to insert the probe, and you're good to go. Will be using it again shortly to turn a chest freezer into a temperature-controlled fermenting box for home brew."
"119","I use this controller to cycle a small fridge for maintaining beer fermenting temps (68 degF) here in the South. It comes setup for that purpose without the need to move jumpers or change programming though that's an option and is easily accomplished. Reference materials are clear and concise. Best of all it works!"
"120","Most people are buying this temp. controller for home brewing to convert a freezer into a fridge. My application was to use it as an aquarium heater controller. When using this item for my purpose it was not plug and play but was easily converted in less than 10 minutes. The controller works flawlessly and I am very happy with it."
"121","I bought this to keep a constant temp on my chest freezer for fermenting beer, Works great keeps it within ~2 degrees of where I set it.the device works by plugging the standard male wall plug from your freezer into a female one that comes attached to the device"
"122","Switching this unit from cooling to heating mode for use in sous vide could not be simpler (I'm using a crockpot as my heat source.)  Just move jumper pin 1 inside the control unit from disconnected to connected and you're ready to cook! Works exactly as expected. The power cable from the outlet to the unit is a little long for my uses, but it's only a minor inconvenience.I only took away one star for not including a waterproof temperature sensor. Sure I could put it in a plastic bag, but I'd rather not."
"123","I would have given this a 5 star rating however the instructions are a bit detailed.  The product works flawlessly and has not let me down yet.  Once you figure it out, it is super easy which is why you wonder how the instructions couldn't have been a bit easier to follow. It allows precise temperature control and is heavy duty."
"124","Perfect for lagering homebrew or keeping beer at desired temperature for serving.  Easy.  Plug and play, just 4 sub menus for total fridge control.  Highly recommended.  I'm in my 3rd year of brewing, wish I had gotten one sooner.  Lagering is not hard, so step it up! My Baltic porter is very happy with Bohemian lager yeast (wyeast) at 53 F.  Just make a large starter (15 minute extract boil of 1.040 gravity). Ferment one day in advance."
"125","IF you getting serious  about Homebrewing and  you want to make award winning  beer ..... then temperature control is  Everything when it comes to  Fermenting  Beer.....Johnson Controls Digital Thermostat is The Best..... Easy to Use.....  This  will keepYour kegerator/Fermentation Chamber at a  constant temp......"
"126","I got this along with a heater for my wine fermentation and it works amazingly well.  It keeps my fermentation a lot more consistent and has taken a lot of worry away from the process."
"127","I use this on my kegerator and it is a lot easier to set a precise temp over the analog dial controller"
"128","working great - using it for the freezer specially maintained for around freezing temp.had some issue at the beginning - found the default setting was heater mode.Once fixed, working very fine. :)"
"129","I absolutely love this! I bought this to control the temperature of my refrigerator while for my home brew beer. Very easy to use and works great! All I had to do was drill a hole in an old refrigerator for the temperature probe and seal it with some foam. This is a must have for any home brewers!"
"130","I have this unit on a 1938 GE. Fridge that is used for my Beer only.It keeps is at exactly 32 Degrees all the time.I had it in use for about 2 Years now with no problems what so ever."
"131","I used the control unit to create a cooling system for an enclosed cabinet.  The instructions are a little complicated so know that it ships on cooling and to get it to heating mode you will need to flip the jumper.  Very easy to set up and the least expensive way I was able to control a high draw fan."
"132","Bought this for my beer brewing.  Haven't gotten my chest freezer or extra fridge yet to try out the temp regulating, so right now it's just an expensive digital thermometer but it works great!  Had it hooked up into the brew pot and was able to control the temp of my boil the entire time.  Will update the review once I try it out with my chest freezer."
"133","This product has been amazing for helping to maintain a constant temperature in a homemade jacketed fermenter that I made for lagering or just keeping an eye on the temperature during the warm summer months."
"134","This product works great. We bought it to help control the temperature inside of our beer meister to help prevent frozen kegs. It was easy to install and easy to setup the settings. The best part is it keeps the beer ice cold."
"135","I use this JC D-Therm to control my kegorator.  It is an indispensable upgrade over the cheap-Charlie, useless piece of #$!@ that came stock on the refrigerator.  I would recommend this controller for any refrigeration control task.  Easy aftermarket install."
"136","I needed a device to keep room temp around 80 degrees F. This runs my electric heaters without having the room too hot or cold. If the electric turns off and on it does not change settings! Very nice."
"137","Works perfectly.  Has a number of options for dialing in on exactly the right temperature.  I use this to control fermentation temperatures for beer.  I just fold up a towel and secure it to the bucket or carboy with a big rubber band, and tuck the temperature probe between the fermenter and towel."
"138","This product works perfect for controlling the temperature in my beer cellar."
"139","Especially, KOREAN Kochi refrigerator, all you need this temp control and economic  freezer to set up year round temperature 33 F."
"140","I haven't heard any complaints from my Husband, so it must work as expected. He has his first batch of beer in the freezer using this thermostat so we will find out soon how happy he is with it. I priced this item at a few different places and this was the best price I could find."
"141","Very easy to install, and so far it works perfectly. I use it for a Kegerator to keep the temp between 35-39 degrees and this works like a charm. As long as it keep on working i will recommend this product all day."
"142","Nice reliable product.  I currently use it on an old wine fridge as a homebrew fermentation chamber.  It had a bad thermostat and I already had this controller.  Holds the perfect temp, especially brewing in the summer."
"143","Wow so far so good. This thing is accurate to ~1 degree or so. You can set the difference of the set point you to when the heater comes on to whatever interval you want. I am using this for an aquarium with a finnex th heater."
"144","I was having wide temperature swings with my kegerator, making it impossible to control foam. This maintains the perfect temperature. Plug the kegerator into this control unit and turn the kegerator's temperature control to the coldest setting."
"145","Very easy to use once you understand the different codes. Just plugged in my refrigerator and attached the thermostat to the carboy with tape and insulation. Set the temperature along with the offset and it worked perfectly. Very easy to change temperature, if necessary."
"146","I use this when lower fermentation temps are required for my home brew.Just drill a hold in the back of a fridge or freezer, insert probe, piggyback electrical chord to the thermostat and you are ready to go.simple and effective."
"147","Its been running for over a month so,  so far so good.  It holds its temp but has to be set lower than the desired temp.  a thermometer in the freezer is a must for accurate settings"
"148","Keeps my kegerator beer cooler..."
"149","I am satisfied with good products"
"150","converted a 13cu ft freezer into a cornie keg cooler and couldn't be happier. been chillin up to five pinners of homebrews with room to spare for a co2 tank, hops, yeast and bottles - makes lagering a piece of cake. very consistent and easy to use."
"151","You can do so many different things with this. I love it"
"152","The Johnsons Digital Control Unit did exactly what it I bought it for!It controls the temperature on my fermenting sausage refrigerator within 4 degrees.Very easy to operate and solidly built..I recommend!"
"153","Works great! The unit worked flawlessly and the instructions were clear. The options were numerous - heating, cooling, set points, failure modes - LOVE IT! We have already successfully used it a couple of time for curing resins. Be sure to buy some thermally conductive compound to use between the probe and the surface you're measuring."
"154","money saver for malfunctioning fridges or re-purposing freezers for fridges or kegerators!  also use them to control cheap electrical heaters that have no thermostat."
"155","Has worked well for me for the last 3 years.  Can't complain"
"156","I've had this thing working on my kegerator for years now and I've never had any problems with it.  It's solid and works exactly as advertised.  I do wish it was a bit cheaper, but the quality is certainly there."
"157","This temp controller works well and is fairly simple to use. I'm using it to control fermentation temp on a minifridge and it's doing a great job. Digital readout is accurate (compared to thermometers inside the fridge) and easy to use after a quick read of the instruction manual. My beers have been turning out better. Includes an adjustable cycle timeout for older fridges and an adjustable +/- variation limit.Great addition to a homebrewers' arsenal."
"158","After a failed attempt at getting it to control my little brewing ""freezer"",  I decided to read the directions!  Aha!  There's instructions as to how to set the pins inside the thermostat so that it cools down to 34F, but stops there and not get any colder.  Works like a charm."
"159","I bought this to keep tighter control on my keezer (Google it if you don't know).  The directions seem to be written for an HVAC professional (and/or I'm just dense, which is entirely possible), but it's keeping my beer nice and frosty cold."
"160","great product"
"161","Hope it works well, the instructions are far more involved than they should be for a thermostat.I need this thing but it is a pain in the butt to set up."
"162","my kegerator was fluctuating in temp, so i put its thermostat on max setup this digital  thermostat now the temp is so stable.very happy with it!"
"163","The control is easy to install and operate.  I now have a great cheese cave for my homemade cheeses.  Keep in mind it will also affect the freezer portion of your refrigerator unit."
"164","This is a product that does just what it says with a fair amount of ease of operation.Read the directions, I had a friend in electronics help which just made the programing go faster but you can do it if your not an electrition."
"165","I bought this for a chest freezer that I turned into a kegerator. It's plug and play. I used a 5 gal bucket of water to check for liquid temps. The liquid temps are lower than the air temps. This thermostat reads air temps."
"166","we bought this product to control the temp. in our 37 cubic foot smoker (a sub zero freezer with the parts removed). we followed the instructions and in 5 minutes we were good to go.  It was plugged in to a 1500 watt heat element and cycled very smoothly all day and held the temp within the set variance. If you need one that will hold more amps you will have to step up to the hard wire version.  we are ordering another one for a second heating element.  great product and very portable"
"167","Seems to be of good quality. Someday I hope to figure out how to operate it."
"168","This thing rocks. Easy to use and configure.  Keeps my beer right at 33 degrees"
"169","It is easy to set up and use as stated....the cool thing is once its dialed in you can unplug it, and that fridge goes back to normal ,and with out any more adjustments you can plug it in to another and it works great as is. I use it for fermenting, and love it."
"170","Been using these with my reptiles for many years, never had one break or malfunction."
"171","When we upgraded our freezer I used this temp control to convert it to a fermentation chamber. Then when I want to cold crash the beer or wine I just lower the temp for a couple of days.  Need to get a second one and build my kegerator."
"172","First unit I received died within a week; it stopped sending power to the freezer. Thanks to the excellent customer service from The Beverage Factory, I was sent another unit free of charge. This unit has been working ever since without issue. I find this item very user friendly for making a home fermentation chamber out of an old freezer. It also seems durable, despite my problems with the first one."
"173","the cheapest reliable temperature controller i'd seen on amazon when i bought it. it can be a little inaccurate at times by 1-3 degrees, but for the most part works well."
"174","I'm using this controller to set the temperatures in a fridge I use as a fermentation chamber for brewing. Works great! You can set it to a target temperature and adjust how much of a range is allowed above and below your target."
"175","I used mine to turn a chest freezer into a refrigerator. When you open a standard refrigerator the cold air literally falls to the floor and thus the refrigerator cycles much more often.  When you open a box or chest freezer (which is usually better insulated) most of the cold air stays in the bottom of the box when you open it instead of it escaping from the bottom, like your fridge. Many people use this conversion as an energy saving device and all it takes is pluging it in and setting the temp to somewhere above freezing. I've heard it said you can save 70-90% of energy consumption using this configuration, so if you are off the grid, it might really pay off for you. However, it is more difficult to arrange and stack your cold items for rotation and easy access. Hope this helps."
"176","Two year's worth of service without a hiccup, and still going strong!  Easy to set up.  I use mine to control the temp in my kegerator which I built from a chest freezer.  I've also used it to maintain lagering temp.  Go for the digital model - you won't be sorry."
"177","have 2 of these on line, one for a kegurator, the other i use to control fermentation for home brewing beers.easy to set up and adjust temp as needed.  hot or cold control."
"178","Worked beyond my expectations. It actually stays exactly at the right temp. I am using it to ferment beer. It is in my mini fridge. I am using it with a Mr. Beer kit. We left the house for ten days ant it got to the 90's in the house while we were gone. The mini fridge stayed at 72 degrees the entire time. I will see what the beer tastes like in a week. That will be the real test."
"179","I love this product. Bought a $300 freezer and turned it into a wine fridge. Easy to install and operate. Calling them for tech support is practically impossible."
"180","Works great on my upright freezer that I use to cellar beer."
"181","Great brand new control unit, and easy installation.  It is the perfect solution for the homebrewer for lagering or consistent low-temperature carbonation without the risk of freezing.  Just a suggestion - the factory default setting is +/- 7 degrees F.  Change this to +/- 2 or so for a more stable environment."
"182","used it to hack a sous-vide cooker out of a crockpot. Works great!"
"183","We use this to regulate a bread proofing box""s temperature.  It works great.  We live in Oregon on the coast where it is colder and really need it.  My wife makes artisan breads and feels much more secure using this controller in the proofing box."
"184","Used this product to keep a chest freezer right around 29 degrees and created a keezer (freezer kegerator) out of it, does the job well and can limit cycles to keep the freezer running for a long time."
"185","Works exactly as it is supposed to. just like some others have said directions can be confusing. there is a review by claws dat scratch that is very helpful with understanding the setup. if you need some help with setup check out their review.http://www.amazon.com/review/RCZQX32L8IW6U/ref=cm_cr_dp_cmt?ie=UTF8&ASIN=B00368D6JA&nodeID=228013&store=hi#wasThisHelpful"
